date,unifiedScreenClass,screenPageViews,activeUsers,screenPageViewsPerUser,sessions,engagedSessions,sessionsPerUser,averageSessionDuration,screenPageViewsPerSession,bounceRate
2024-01-02,【まじ謎】INFO女子2人で郡元キャンパスガロア横の理髪室に行ってみた ,1,1,1,1,1,1,119.0663,1,0
2024-01-02,【まるで「君の名は。」】秋の日帰り韓国岳登山！ ,1,1,1,1,1,1,108.814123,1,0
2024-01-02,【バイク店の店長さん厳選！】大学生におすすめしたい高性能バイク4選 ,1,1,1,1,1,1,1.236063,1,0
2024-01-02,【保存版】鹿児島・長島で食べてほしい定番1日グルメコース ,1,1,1,1,1,1,16.888127,1,0
2024-01-02,【学割もアリ】鹿大生が選ぶ安い天文館ランチ3選 ,1,1,1,1,0,1,0,1,1
2024-01-02,【学生必見！】おうち時間におすすめの映画５選！ ,1,1,1,1,1,1,1510.472247,1,0
2024-01-02,【密着INFO隊 第17弾】副編集長の生き方・考え方に迫る！！ ,1,1,1,1,0,1,4.955617,1,1
2024-01-02,【新入生必見】アパレル店員が教える！大学生が持っておくべきファッションアイテム7選 ,1,1,1,1,1,1,1.022636,1,0
2024-01-02,【行かなきゃ損！】鹿児島市付近のおすすめ絶品バーガー3選 ,1,1,1,1,1,1,1342.094954,1,0
2024-01-02,【鹿児島の海を楽しむ！】INFO女子が０から釣りを始めてみた ,1,1,1,1,1,1,113.956049,1,0
2024-01-02,【鹿児島・知覧がアツい】話題の映画「あの花が咲く丘で、君とまた出会えたら」ゆかりの地を巡ってみた ,1,1,1,1,1,1,19.893584,1,0
2024-01-02,【鹿児島市眉毛サロン】大学生が眉毛サロンで眉毛整えたらどうなるのか？検証！ ,1,1,1,1,1,1,15.371642,1,0
2024-01-02,【鹿大周辺ランチ3選】KAGOSHIMA LUNCH Vol.01 ,1,1,1,1,1,1,24.517901,1,0
2024-01-02,【鹿大祭2023】模擬店マップ ,1,1,1,1,1,1,13.604958,1,0
2024-01-02,ねじめんが聞く選挙の裏側　鹿児島県選挙管理委員会インタビュー ,1,1,1,1,1,1,0,1,0
2024-01-02,今と別人!?w 学生証の写真見せてください! ,1,1,1,1,1,1,44.748955,1,0
2024-01-02,初代ミス薩摩焼酎は現役鹿大生！全国100人から選ばれたシンデレラガールに迫る！ ,1,1,1,1,1,1,104.329032,1,0
2024-01-02,動物の癒し動画特集 ,1,1,1,1,1,1,15.805273,1,0
2024-01-02,夏に食べたい！鹿大近くの韓国料理屋さん♡ ,1,1,1,1,1,1,31.647129,1,0
2024-01-02,大学生必見！2021年衆議院議員総選挙を分かりやすく解説５選 ,1,1,1,1,1,1,19.492209,1,0
2024-01-02,教育学部にいつの間にか「うずら」が住んでる小屋ができた？！ ,1,1,1,1,1,1,33.908447,1,0
2024-01-02,稲盛記念館レストラン　ヴェジマルシェ　メニュー大公開！ ,1,1,1,1,1,1,218.329826,1,0
2024-01-02,羽毛球 2023年版  ,1,1,1,1,1,1,2.896342,1,0
2024-01-02,誕生日・記念日に！鹿児島大学周辺のケーキショップまとめ５選♡ ,1,1,1,1,1,1,15.774551,1,0
2024-01-02,遊ぶ場所で悩む鹿児島の学生必見！楽しく遊べる海１０選 ,1,1,1,1,1,1,24.788996,1,0
2024-01-02,騎射場グルメ｜本当にご飯が美味しい鹿大周辺飲食店3選 ,1,1,1,1,1,1,20.171526,1,0
2024-01-02,鹿児島大学　卒業生SNAP　2023🌸🎓 ,1,1,1,1,1,1,16.449214,1,0
2024-01-02,鹿児島大学ハンドボール部 ,1,1,1,1,1,1,99.833986,1,0
2024-01-02,鹿児島市内で最高にウマい海鮮丼が食べられるお店７選！ ,1,1,1,1,0,1,0,1,1
2024-01-02,鹿児島市内の厳選おしゃれカフェ５選♡【インスタに載せたい！】 ,1,1,1,1,1,1,43.12442,1,0
